"","X1.50","Best_k"
"1",1,10
"2",2,10
"3",3,10
"4",4,9
"5",5,9
"6",6,10
"7",7,13
"8",8,15
"9",9,15
"10",10,18
"11",11,21
"12",12,22
"13",13,26
"14",14,27
"15",15,26
"16",16,26
"17",17,25
"18",18,25
"19",19,25
"20",20,23
"21",21,23
"22",22,24
"23",23,26
"24",24,26
"25",25,26
"26",26,26
"27",27,26
"28",28,27
"29",29,27
"30",30,28
"31",31,29
"32",32,28
"33",33,28
"34",34,27
"35",35,28
"36",36,28
"37",37,28
"38",38,28
"39",39,28
"40",40,28
"41",41,28
"42",42,28
"43",43,28
"44",44,28
"45",45,28
"46",46,27
"47",47,27
"48",48,26
"49",49,25
"50",50,23
