"","X1.50","Best_k"
"1",1,35
"2",2,35
"3",3,38
"4",4,42
"5",5,43
"6",6,48
"7",7,47
"8",8,46
"9",9,49
"10",10,46
"11",11,48
"12",12,49
"13",13,49
"14",14,47
"15",15,49
"16",16,48
"17",17,48
"18",18,48
"19",19,47
"20",20,44
"21",21,42
"22",22,42
"23",23,43
"24",24,43
"25",25,43
"26",26,43
"27",27,42
"28",28,42
"29",29,42
"30",30,43
"31",31,44
"32",32,43
"33",33,44
"34",34,45
"35",35,45
"36",36,45
"37",37,45
"38",38,43
"39",39,42
"40",40,42
"41",41,41
"42",42,41
"43",43,41
"44",44,41
"45",45,40
"46",46,40
"47",47,40
"48",48,40
"49",49,39
"50",50,39
